"binomial","area"
"Sinibotia longiventralis",107285.8
"Speolabeo musaei",5685.5
"Sperata aor",26386.2
"Spinibarbus denticulatus",384.4
"Spinibarbus hollandi",24606.5
"Spinibarbus maensis",142.3
"Stenogobius mekongensis",2827.7
"Sundasalanx mekongensis",297345.3
"Sundasalanx praecox",115423.1
"Syncrossus helodes",241774.7
"Syncrossus hymenophysa",180405.7
"Systomus rubripinnis",84182.4
"Taenioides gracilis",103066.3
"Tenualosa thibaudeaui",85646.5
"Terapon jarbua",3180.6
"Terapon theraps",258.3
"Terateleotris aspro",5685.5
"Thorichthys meeki",1872.9
"Thryssocypris tonlesapensis",119109.7
"Thynnichthys thynnoides",322257
"Tonlesapia amnica",14675.8
"Tonlesapia tsukawakii",7512.6
"Tor ater",1813.4
"Tor laterivittatus",153516.6
"Tor polylepis",12736.2
"Tor sinensis",14952.8
"Toxabramis houdemeri",5693.5
"Toxabramis maensis",19494.4
"Toxabramis nhatleensis",142.3
"Toxotes chatareus",3627.9
"Toxotes jaculatrix",2757.2
"Toxotes microlepis",480944.1
"Traccatichthys taeniatus",297.2
"Trichogaster labiosa",1161.8
"Trichopodus microlepis",144019.3
"Trichopodus pectoralis",218550
"Trichopodus trichopterus",64178.2
"Trichopsis pumila",309640.1
"Trichopsis schalleri",299163.1
"Trichopsis vittata",74731.9
"Tridentiger bifasciatus",151.2
"Trigonopoma pauciperforatum",55.7
"Trigonostigma espei",55.7
"Troglocyclocheilus khammouanensis",3669.2
"Tuberoschistura cambodgiensis",21095.6
"Vanmanenia serrilineata",20080.1
"Wallago attu",582286.300000001
"Wallago micropogon",415528
"Xenentodon cancila",25708.3
"Xenentodon canciloides",244206.9
"Yarica hyalosoma",258.3
"Yasuhikotakia caudipunctata",84701.5999999999
"Yasuhikotakia eos",283446
"Yasuhikotakia lecontei",114166.3
"Yasuhikotakia longidorsalis",126319.2
"Yasuhikotakia modesta",127277.6
"Yasuhikotakia morleti",112652.4
"Yunnanilus cruciatus",297.2
"Zenarchopterus dispar",55.7
"Zenarchopterus gilli",2680.8
