"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
130,"V014","Dray Hlinh 1",12.6769444444,107.913333333,15.8,94.9,8880,241,12,94,3.082,302,299,1.5,2.9,0,7,1990,3.082,1990,"E",1.07918124604762,"existing","V","2","0","0","S0"
133,"T002","Huai Kum",16.413,101.797166667,23,5.5,282,76,1.18,2,7.28,312,298,20,20,2.4,35.6,1978,7.28,1982,"E",0.0718820073061254,"existing","T","2","0","0","S0"
135,"T004","Pak Mun",15.2861666667,105.473833333,11.6,1320,117000,24000,136,280,248.08,108,105.5,125,225,60,17,1994,248.08,1994,"E",2.13353890837022,"existing","T","2","0","0","S0"
137,"T006","Ubol Ratana",16.7666666667,102.633333333,16,176.6457428,12104,2309,25.2,56,17.416,182,175.5,1695,2250,401.2,35.1,1960,17.416,1966,"E",1.40140054078154,"existing","T","2","0","0","S0"
138,"T007","Lam Ta Khong P.S.",14.8028333333,101.5505,360,165,1430,261,500,400,613.6,277,261,299.6,319.9,0,40.3,1994,613.6,2001,"E",2.69897000433602,"existing","T","2","0","0","S0"
1,"L001","Nam Ngum 1",18.5305999848,102.550000046,38.5,414.4,8460,427,155,1006,97,212,196,1002,7003.99,369.42,75,1971,97,1971,"E",2.19033169817029,"existing","L","4","0","0","SPR0"
3,"L003","Xelabam",15.3553648392,105.831578188,17,38,6360,185.4,5,23.5,2,119.3,118,0.8,0.8,0.55,3.7,1968,2,1970,"E",0.698970004336019,"removed","L","0","1","0","SPR0"
4,"L004","Xeset 1",15.7596999893,106.331400028,153.4,33,325,18,45,154.3,51,482,479,0.3,2.33,0.1,18,1990,51,1991,"E",1.65321251377534,"removed","L","0","1","0","SPR0"
5,"L005","Theun-Hinboun",18.258299987,104.56110004,225.5,106,8927,460,220,1327,240,400,395,15,29.94,6.25,27,1994,240,1998,"E",2.34242268082221,"existing","L","4","0","0","SPR0"
9,"L009","Nam Ko",20.7841999865,102.11330005,34.5,5.4,223,6,1.5,5,6.7,525,523,0.0045,0,0.0048,6,1996,6.7,1996,"E",0.176091259055681,"existing","L","4","0","0","SPR0"
10,"L010","Nam Ngay",21.8017508954,102.114566694,17,8.5,315,8.5,1.2,3.5,9,455.5,452.5,0.674,0.7,0.25,26.93,2000,9,2002,"E",0.0791812460476248,"existing","L","4","0","0","SPR0"
12,"L012","Xekaman 3",15.4360999912,107.336700023,102,62.24,712,29.56,250,982.8,266,960,925,108.54,141.5,5.2,99,2004,266,2015,"C",2.39794000867204,"existing","L","4","0","0","SPR0"
14,"L014","Nam Ngum 2",18.7532999852,102.776700045,159.5,448,5640,193.5,615,1976,760,375,335,2970,3590,122.2,181,2005,760,2012,"E",2.78887511577542,"existing","L","4","0","0","SPR0"
